[aderton, 2]
[reglerar, 1]
[regleras, 1]
[religion, 1]
[religionsfrihet, 2]
[religiös, 2]
[religiösa, 2]
[religiöst, 1]
[renskötsel, 1]
[representativt, 1]
[resa, 1]
[respekt, 1]
[retroaktiv, 3]
[riket, 8]
[rikets, 5]
[riksdagen, 8]
[Riksdagen, 3]
[riksdagens, 2]
[riksdagsutskott, 1]
[rätt, 11]
[rätten, 2]
[rättigheter, 2]
[rättigheterna, 1]
[rättskipningen, 1]
[rättsverkan, 2]
[röja, 1]
[röstande, 1]
[rösträtt, 1]
[sagts, 2]
[saken, 2]
[saklighet, 1]
[samband, 1]
[Samernas, 1]
[samfundsliv, 1]
[samhälle, 1]
[samhället, 1]
[samhällets, 1]
[samma, 1]
[sammankomst, 3]
[sammankomsten, 1]
[sammansluta, 1]
[sammanslutning, 3]
[sammanslutningar, 1]
[sammansättning, 1]
[samt, 15]
[samtidigt, 1]
[samtycke, 2]
[sedan, 1]
[senare, 1]
[sexuell, 1]
[sig, 6]
[sin, 5]
[sina, 3]
[sitt, 4]
[självstyrelse, 1]
[sjättedelar, 1]
[skada, 1]
[skall, 25]
[skatt, 5]
[Skatt, 1]
[ske, 2]
[skola, 1]
[skolplikten, 1]
[skrift, 1]
[skrivelse, 1]
[skydd, 12]
[skydda, 1]
[skyddad, 7]
[skyddas, 1]
[skäl, 3]
[skötseln, 1]
[social, 1]
[som, 43]
[Som, 1]
[sprida, 1]
[språklig, 1]
[språkliga, 1]
[stadgat, 1]
[stat, 3]
[staten, 2]
[statens, 1]
[statlig, 3]
[statliga, 1]
[statschef, 2]
[statsskick, 1]
[Statsskickets, 1]
[stiftar, 1]
[Straff, 1]
[strid, 1]
[stridsåtgärder, 2]
[sträcka, 1]
[strävanden, 1]
[styckena, 2]
[stycket, 18]
[styr, 1]
[styrelse, 1]
[stöd, 1]
[successionsordningen, 2]
[svara, 1]
[svensk, 2]
[svenska, 2]
[Sverige, 1]
[Sveriges, 2]
[svår, 1]
[svårare, 1]
[syfte, 4]
[syften, 1]
[så, 1]
[sådan, 2]
[Sådan, 1]
[sådana, 1]
[sådant, 8]
[såsom, 1]
[såvitt, 1]
[säkerhet, 4]
[särskild, 1]
[särskilda, 4]
[särskilt, 3]
[sätt, 3]
[taga, 3]
[tal, 1]
[tankar, 1]
[tekniska, 1]
[telefonsamtal, 1]
[television, 1]
[till, 29]
[tillförsäkrad, 4]
[tillgodose, 2]
[tillgång, 1]
[tillhör, 1]
[tillhöra, 2]
[tillhörighet, 1]
[tillsammans, 1]
[tillämpas, 1]
[tillämpligt, 1]
[tio, 1]
[tjänst, 2]
[tjänsteplikt, 2]
[tolv, 1]
[tortyr, 2]
[trafiken, 1]
[tredje, 5]
[Tredje, 1]
[tron, 1]
[trossamfund, 2]
[trots, 1]
[tryckfriheten, 1]
[tryckfrihetsförordningen, 4]
[trygga, 1]
[tryggad, 1]
[trygghet, 1]
[trätt, 1]
[tvingas, 2]
[tvist, 1]
[två, 1]
[tvång, 4]
[tvångsvis, 1]
[tåla, 1]
[undantag, 1]
[under, 3]
[undersökning, 1]
[uppdragits, 1]
[uppgifter, 3]
[upphävande, 1]
[uppkommer, 1]
[upplysning, 1]
[upplysningar, 2]
[uppnå, 1]
[upptagning, 1]
[upptagningar, 1]
[ursprung, 4]
[ut, 1]
[utan, 4]
[Utan, 2]
[utbildning, 4]
[utgår, 1]
[utgör, 2]
[utlänning, 1]
[Utlänning, 1]
[utlöste, 1]
[utom, 1]
[utskottsyttrandet, 1]
[utsträckning, 2]
[uttagas, 1]
[uttages, 1]
[uttrycka, 1]
[uttryckligt, 1]
[utveckla, 1]
[utveckling, 1]
[utöva, 3]
[utövande, 1]
[utövas, 3]
[utöver, 1]
[vad, 3]
[Vad, 3]
[valda, 1]
[var, 2]
[vara, 5]
[varaktigt, 1]
[varit, 2]
[Varje, 7]
[vars, 1]
[verk, 3]
[verka, 3]
[verksamhet, 2]
[verksamheten, 1]
[verkställighet, 1]
[vetenskapliga, 1]
[vid, 5]
[Vid, 1]
[vidare, 1]
[Vidare, 3]
[vidaste, 1]
[videogram, 1]
[vidkommande, 1]
[vidtaga, 1]
[vikten, 1]
[viktiga, 1]
[vila, 1]
[vilka, 1]
[vilkas, 1]
[vilken, 1]
[viss, 4]
[vissa, 3]
[visst, 4]
[vägledande, 1]
[välfärd, 1]
[vänta, 1]
[värde, 1]
[värdet, 1]
[värdighet, 1]
[värna, 1]
[värnplikt, 1]
[yrkande, 1]
[yrke, 2]
[yttra, 2]
[yttrande, 1]
[yttrandefrihet, 3]
[yttrandefriheten, 2]
[Yttrandefriheten, 1]
[yttrandefrihetsgrundlagen, 2]
[yttranden, 3]
[yttrandes, 1]
[ådömts, 1]
[ålder, 2]
[åligga, 1]
[åläggas, 2]
[år, 2]
[års, 1]
[åsikter, 1]
[åsiktsbildning, 1]
[åsiktsbildningen, 1]
[åskådning, 6]
[åstadkomma, 1]
[åt, 1]
[åtaganden, 1]
[äger, 2]
[än, 8]
[ändamål, 2]
[ändring, 1]
[är, 33]
[även, 7]
[över, 1]
[överenskommelse, 1]
[överflytta, 1]
[överföringar, 1]
[övrigt, 5]
